id;numero_vuelo;origen;destino;fecha_salida;fecha_llegada
1;carp how;diver unto expense;whoever;2026-09-18T23:24:41;2026-09-19T09:46:36
2;ultimately information;indeed golden other;via around;2026-09-19T13:59:14;2026-09-18T20:33:53
3;ack;fiercely solicit;valiantly justly instead;2026-09-19T13:25:34;2026-09-19T14:13:02
4;schnitzel oof quarrelsomely;pivot blah;alongside;2026-09-18T17:40:42;2026-09-18T21:37:55
5;loyally however;squirm now than;brr tough;2026-09-18T17:35:21;2026-09-19T00:23:41
6;yet gadzooks;hunger;gah;2026-09-18T20:40:55;2026-09-19T11:28:46
7;earth above forenenst;pure;irresponsible countess;2026-09-18T21:54:55;2026-09-19T13:56:35
8;sternly frantically;in to ah;masculinize mmm;2026-09-19T02:16:25;2026-09-19T06:03:39
9;flowery;times;trustworthy across circle;2026-09-19T16:06:08;2026-09-19T03:54:39
10;brightly fooey but;meh faithfully able;outbid;2026-09-19T03:02:50;2026-09-19T04:31:51
